472.8507022708722, 0.15, 0.0, P, 5, SYN1137, ???
477.83971316756833, 0.15, 0.0, P, 5, SYN1167, ???
472.85161721052634, 0.15, 0.0, P, 5, SYN1150, ???
527.2042530049514, 0.15, 0.0, P, 5, SYN1374, ???
466.9844432395281, 0.15, 0.0, P, 5, SYN1126, ???
565.078861679364, 0.15, 0.0, P, 5, SYN1535, ???
589.3543346132963, 0.15, 0.0, P, 5, SYN1644, ???
440.8028542301775, 0.15, 0.0, P, 5, SYN1001, ???
541.355205935352, 0.15, 0.0, P, 5, SYN1423, ???
439.6035490617658, 0.15, 0.0, P, 5, SYN1017, ???
612.1052683438842, 0.15, 0.0, P, 5, SYN1763, ???
590.2101680738422, 0.15, 0.0, P, 5, SYN1641, ???
570.5906353227318, 0.15, 0.0, P, 5, SYN1569, ???
560.2213066622437, 0.15, 0.0, P, 5, SYN1513, ???
574.036988207016, 0.15, 0.0, P, 5, SYN1587, ???
584.1035088848389, 0.15, 0.0, P, 5, SYN1626, ???
504.593220925632, 0.15, 0.0, P, 5, SYN1276, ???
481.279569028412, 0.15, 0.0, P, 5, SYN1155, ???
519.8717389138353, 0.15, 0.0, P, 5, SYN1339, ???
483.36833482372225, 0.15, 0.0, P, 5, SYN1183, ???
586.2268524720475, 0.15, 0.0, P, 5, SYN1617, ???
612.9190513895464, 0.15, 0.0, P, 5, SYN1752, ???
550.1786377055821, 0.15, 0.0, P, 5, SYN1474, ???
598.0568487023427, 0.15, 0.0, P, 5, SYN1698, ???
613.0338674211444, 0.15, 0.0, P, 5, SYN1767, ???
520.3230269639474, 0.15, 0.0, P, 5, SYN1344, ???
533.3048819166661, 0.15, 0.0, P, 5, SYN1375, ???
555.2091960448676, 0.15, 0.0, P, 5, SYN1498, ???
598.1786136031557, 0.15, 0.0, P, 5, SYN1690, ???
536.8048414291409, 0.15, 0.0, P, 5, SYN1400, ???
580.2014415686896, 0.15, 0.0, P, 5, SYN1599, ???
506.647459737948, 0.15, 0.0, P, 5, SYN1286, ???
521.6089180924347, 0.15, 0.0, P, 5, SYN1351, ???
488.85994903486676, 0.15, 0.0, P, 5, SYN1215, ???
530.6741745132158, 0.15, 0.0, P, 5, SYN1389, ???
456.02049226363704, 0.15, 0.0, P, 5, SYN1071, ???
607.3626986580173, 0.15, 0.0, P, 5, SYN1733, ???
484.27223729448866, 0.15, 0.0, P, 5, SYN1180, ???
462.45101144025773, 0.15, 0.0, P, 5, SYN1092, ???
602.3892925779386, 0.15, 0.0, P, 5, SYN1712, ???
575.378935824507, 0.15, 0.0, P, 5, SYN1591, ???
514.8913962621546, 0.15, 0.0, P, 5, SYN1316, ???
599.6997443873381, 0.15, 0.0, P, 5, SYN1703, ???
515.1586314164942, 0.15, 0.0, P, 5, SYN1323, ???
446.72797556492503, 0.15, 0.0, P, 5, SYN1042, ???
580.15722249614, 0.15, 0.0, P, 5, SYN1613, ???
499.50400136245787, 0.15, 0.0, P, 5, SYN1259, ???
520.8927443800794, 0.15, 0.0, P, 5, SYN1349, ???
560.0391715742093, 0.15, 0.0, P, 5, SYN1522, ???
504.7045282892702, 0.15, 0.0, P, 5, SYN1279, ???
571.7626054260733, 0.15, 0.0, P, 5, SYN1572, ???
592.4525067676259, 0.15, 0.0, P, 5, SYN1672, ???
483.2594285215083, 0.15, 0.0, P, 5, SYN1190, ???
